name,tags,stars,nmatches,priority,awards,Glicko_pts,Glicko_rd,Glicko_time,ELO_pts,ELO_rd,ELO_time
FfQOZ8GacAA2n4C.jpeg,composition composition|contrast lighting lighting|colors lighting|contrast mood sharpness,5.414285714285715,6,0.8688621260007781,e_lighting e_lighting|contrast e_sharpness wow_lighting,3463,221,1697027916.3598917,2244,0,1697027916.361037
Screenshot_from_2023_10_09_23_42_23.jpg,lighting lighting|colors lighting|contrast mood sharpness,4.5060714285714285,6,0.7773504985213471,e_lighting|colors,3151,189,1697027916.3599315,2059,0,1697027916.3610387
7b3034aa37fe6af5b8d1ec770d8d2bf5.jpg,composition composition|negative_space composition|subject lighting lighting|colors mood,4.0525,6,0.7348913083033346,,2942,199,1697027916.3598368,1997,0,1697027916.3610356
Screenshot_from_2023_02_23_19_26_20.jpg,lighting lighting|colors lighting|contrast mood sharpness,3.8160714285714286,6,0.7136682584580948,e_lighting e_lighting|colors e_lighting|contrast,2822,191,1697027916.3597732,1971,0,1697027916.3610334
af8d0e6ce5a313501000c9577f0376b6.jpg,lighting lighting|colors,3.5060714285714285,9,0.6727631587019516,,2773,166,1697027922.3844326,1875,0,1697027922.3855243
7n56745n754n75n.jpg,lighting lighting|colors mood,3.4332142857142856,3,0.6891212443424275,e_lighting,2778,214,1697027922.3844812,1843,0,1697027922.3855262
48211457f64fe313cbed60995360bb97.jpg,composition composition|balance composition|subject,3.0,0,0.6567768201123286,,2550,350,1697027887.0791903,1800,0,1697027887.079195
375219895_185901554523001_2307745749798827576_n.jpg,composition composition|subject lighting lighting|colors,2.870357142857143,3,0.6439124177899382,e_composition|subject wallpaper,2489,214,1697027922.384524,1783,0,1697027922.3855278
0f676f3db6ca3449fb60590a09ef62e8.jpg,composition composition|balance composition|subject,2.7092857142857145,3,0.631737028406469,,2399,236,1697027899.2999947,1770,0,1697027899.3036306
pink_field.jpg,composition composition|negative_space composition|subject lighting lighting|colors,2.6503571428571426,6,0.6189336877438634,,2384,196,1697027910.1165113,1755,0,1697027910.1206071
kitten_hearteyes.mp4,composition composition|subject mood,2.541785714285714,6,0.6110167507934455,,2336,195,1697027922.3845742,1739,0,1697027922.385529
9a8219a087f481414ef986e2b76fc358.jpg,composition composition|contrast composition|subject lighting lighting|contrast,1.6600000000000001,6,0.5532800648316932,,2025,243,1697027910.1169274,1564,0,1697027910.120622
